Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740500663280,1609,1609,1609,1609,1609,1609,1609,1609,62.856632232666016,34.621131896972656,64.61930847167969,38.406002044677734,73.00209045410156,39.30858612060547,48.13905715942383,68.56201171875,28609.18585205078,227554.51788330078,179806.1050415039,3096.2335815429688,16883044352,34359738368,11131334656,0
200,1740500663281,1609,1609,1609,1609,1609,1609,1609,1609,98.24866485595703,95.18409729003906,87.52790832519531,87.95342254638672,62.82162857055664,88.7394790649414,84.03257751464844,88.253173828125,28609.20458984375,227554.6517944336,179806.21704101563,3096.2353515625,16883044352,34359738368,11131895808,0
200,1740500663481,1609,1609,1609,1609,1609,1609,1609,1609,42.97634506225586,31.197425842285156,49.53797149658203,40.22512435913086,42.55620193481445,25.629249572753906,38.03857421875,52.391090393066406,28609.500610351563,227557.69104003906,179808.69177246094,3096.2921142578125,16883044352,34359738368,11122196480,0
200,1740500663681,1609,1609,1609,1609,1609,1609,1609,1609,30.735137939453125,51.4110107421875,42.183685302734375,34.871849060058594,27.379486083984375,20.95623016357422,32.84941101074219,21.65655517578125,28609.733642578125,227560.57196044922,179811.0902709961,3096.3287353515625,16883044352,34359738368,11164094464,0
199,1740500663882,1609,1609,1609,1609,1609,1609,1609,1609,57.651546478271484,69.44277954101563,61.21055221557617,64.37234497070313,57.907772064208984,63.673824310302734,65.98899841308594,59.92475509643555,28610.039916992188,227563.61700439453,179813.642578125,3096.3634033203125,16883044352,34359738368,11150123008,0
200,1740500664082,1609,1609,1609,1609,1609,1609,1609,1609,68.19750213623047,73.2882080078125,80.42134857177734,67.7940673828125,68.98031616210938,64.3918228149414,74.63152313232422,61.8817024230957,28610.419494628906,227566.5997314453,179816.04071044922,3096.408203125,16883044352,34359738368,11167240192,0
200,1740500664282,1609,1609,1609,1609,1609,1609,1609,1609,33.44404602050781,55.01819610595703,49.28617477416992,32.75714111328125,51.474796295166016,27.22430419921875,46.766117095947266,28.706748962402344,28610.710388183594,227569.61108398438,179818.49505615234,3096.4539184570313,16883044352,34359738368,11173085184,0
200,1740500664482,1609,1609,1609,1609,1609,1609,1609,1609,46.021114349365234,38.516395568847656,49.287960052490234,28.793777465820313,38.02948760986328,29.95415496826172,35.166961669921875,45.15729522705078,28610.989013671875,227572.54656982422,179820.89025878906,3096.4915771484375,16883044352,34359738368,11197440000,0
200,1740500664683,1609,1609,1609,1609,1609,1609,1609,1609,33.671226501464844,22.98297882080078,28.165611267089844,20.579139709472656,29.647323608398438,14.035919189453125,25.026641845703125,25.54875946044922,28611.26171875,227575.1278076172,179822.96142578125,3096.5618286132813,16883044352,34359738368,11203039232,0
200,1740500664883,1609,1609,1609,1609,1609,1609,1609,1609,23.288955688476563,14.885696411132813,21.08820343017578,10.681427001953125,22.15221405029297,7.288078308105469,17.852783203125,11.420158386230469,28611.46319580078,227577.35626220703,179824.82806396484,3096.6096801757813,16883044352,34359738368,11204694016,0
