Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740499422095,1609,1609,1609,1609,1609,1609,1609,1609,39.64725875854492,32.96265411376953,83.18938446044922,25.726181030273438,52.7474250793457,32.08195495605469,51.69886016845703,26.81475067138672,26853.083862304688,216819.65844726563,171684.8660888672,2697.2747192382813,16883044352,34359738368,11166326784,0
207,1740499422096,1609,1609,1609,1609,1609,1609,1609,1609,25.115676879882813,15.690666198730469,98.3083724975586,5.1893157958984375,99.81591033935547,4.547492980957031,14.982505798339844,8.818016052246094,26853.0947265625,216819.74487304688,171684.93560791016,2697.277099609375,16883044352,34359738368,11166461952,0
197,1740499422310,1609,1609,1609,1609,1609,1609,1609,1609,79.39089965820313,72.52490997314453,77.05900573730469,73.93159484863281,78.99604797363281,72.73062896728516,79.62751007080078,82.47488403320313,26853.595703125,216823.16375732422,171687.70251464844,2697.4186401367188,16883044352,34359738368,11280162816,0
199,1740499422509,1609,1609,1609,1609,1609,1609,1609,1609,93.41043853759766,90.45722961425781,93.7146987915039,92.87084197998047,92.21350860595703,88.17958068847656,92.02172088623047,93.94550323486328,26854.040771484375,216826.00787353516,171689.96490478516,2697.4993896484375,16883044352,34359738368,11307511808,0
199,1740499422708,1609,1609,1609,1609,1609,1609,1609,1609,89.3082275390625,86.5906982421875,91.45849609375,91.17455291748047,89.80897521972656,86.84270477294922,92.55616760253906,90.27388763427734,26854.551025390625,216829.3739013672,171692.6762084961,2697.5546264648438,16883044352,34359738368,11306758144,0
199,1740499422909,1609,1609,1609,1609,1609,1609,1609,1609,71.77742004394531,64.61883544921875,69.57052612304688,70.70668029785156,81.87907409667969,62.22556686401367,85.77732849121094,66.83406829833984,26854.87744140625,216831.9757080078,171694.78680419922,2697.5923461914063,16883044352,34359738368,11311828992,0
200,1740499423109,1609,1609,1609,1609,1609,1609,1609,1609,76.06886291503906,64.47817993164063,81.76581573486328,79.12612915039063,77.97598266601563,75.02019500732422,75.67584228515625,77.83612060546875,26855.267822265625,216835.0322265625,171697.2598876953,2697.634033203125,16883044352,34359738368,11311906816,0
197,1740499423312,1609,1609,1609,1609,1609,1609,1609,1609,85.75566101074219,75.77900695800781,81.34712219238281,81.75930786132813,76.28441619873047,78.0705795288086,82.15461730957031,78.47067260742188,26855.683227539063,216838.11291503906,171699.72161865234,2697.6926879882813,16883044352,34359738368,11311042560,0
199,1740499423510,1609,1609,1609,1609,1609,1609,1609,1609,84.99900817871094,80.81405639648438,87.45085906982422,80.39582824707031,85.58873748779297,81.18163299560547,84.89298248291016,86.69266510009766,26856.13885498047,216841.19567871094,171702.1812133789,2697.7448120117188,16883044352,34359738368,11311185920,0
200,1740499423710,1609,1609,1609,1609,1609,1609,1609,1609,83.33134460449219,85.5901107788086,89.0365982055664,83.06086730957031,85.65162658691406,83.7447738647461,89.71905517578125,83.05844116210938,26856.56854248047,216844.09796142578,171704.5155029297,2697.78125,16883044352,34359738368,11311181824,0
201,1740499423910,1609,1609,1609,1609,1609,1609,1609,1609,83.14559173583984,81.97183990478516,84.23110961914063,88.9237289428711,85.93763732910156,85.47021484375,86.5806655883789,81.93305969238281,26857.00439453125,216847.03393554688,171706.85833740234,2697.8310546875,16883044352,34359738368,11312189440,0
220,1740499424113,1609,1609,1609,1609,1609,1609,1609,1609,87.34449768066406,90.92741394042969,92.45039367675781,86.43269348144531,89.55310821533203,85.11770629882813,87.75172424316406,84.63215637207031,26857.70965576172,216851.4751586914,171710.30346679688,2697.991943359375,16883044352,34359738368,11312312320,0
201,1740499424335,1609,1609,1609,1609,1609,1609,1609,1609,100,100,100,99.96907043457031,99.77086639404297,99.98738098144531,99.72383117675781,100,26858.203247070313,216854.41918945313,171712.48504638672,2698.2233276367188,16883044352,34359738368,11312398336,0
199,1740499424537,1609,1609,1609,1609,1609,1609,1609,1609,100,100,100,100,100,100,100,100,26858.553833007813,216856.54431152344,171714.06414794922,2698.3637084960938,16883044352,34359738368,11309838336,0
199,1740499424738,1609,1609,1609,1609,1609,1609,1609,1609,98.5428695678711,98.10670471191406,99.49323272705078,99.22650146484375,98.47955322265625,98.41846466064453,99.02146911621094,99.18743133544922,26859.09698486328,216859.8823852539,171716.7533569336,2698.4719848632813,16883044352,34359738368,11300802560,0
199,1740499424938,1609,1609,1609,1609,1609,1609,1609,1609,98.72994995117188,96.73954772949219,98.59880828857422,98.46771240234375,97.33553314208984,97.06732940673828,98.13616943359375,98.49736785888672,26859.549438476563,216862.63549804688,171718.90704345703,2698.5499877929688,16883044352,34359738368,11313606656,0
200,1740499425138,1609,1609,1609,1609,1609,1609,1609,1609,61.060089111328125,57.998050689697266,69.58901977539063,69.4089126586914,74.22679138183594,67.34715270996094,68.07630920410156,65.7991943359375,26859.913635253906,216865.35858154297,171721.09698486328,2698.5942993164063,16883044352,34359738368,11310977024,0
201,1740499425339,1609,1609,1609,1609,1609,1609,1609,1609,81.32398986816406,78.32936096191406,82.12991333007813,79.96562194824219,77.50474548339844,80.70621490478516,83.13267517089844,80.36353302001953,26860.349975585938,216868.48602294922,171723.6014404297,2698.6522216796875,16883044352,34359738368,11310764032,0
201,1740499425541,1609,1609,1609,1609,1609,1609,1609,1609,83.1834716796875,78.38276672363281,79.3682861328125,86.8272476196289,84.28106689453125,78.52247619628906,81.75582885742188,82.3793716430664,26860.788696289063,216871.50830078125,171726.0050048828,2698.7333374023438,16883044352,34359738368,11310768128,0
198,1740499425746,1609,1609,1609,1609,1609,1609,1609,1609,88.81172943115234,86.9761734008789,88.6236801147461,88.63577270507813,88.1737289428711,84.66261291503906,90.76044464111328,86.39859771728516,26861.248657226563,216874.54595947266,171728.4053955078,2698.8037719726563,16883044352,34359738368,11311177728,0
203,1740499425945,1609,1609,1609,1609,1609,1609,1609,1609,91.35346221923828,87.55348205566406,87.80613708496094,89.7784194946289,88.7366714477539,84.25606536865234,89.13558959960938,88.5257339477539,26861.69403076172,216877.49169921875,171730.72521972656,2698.8800659179688,16883044352,34359738368,11314892800,0
203,1740499426149,1609,1609,1609,1609,1609,1609,1609,1609,93.40361785888672,92.57553100585938,92.3851547241211,89.62511444091797,90.30262756347656,89.89688873291016,93.473388671875,89.6026382446289,26862.24395751953,216880.99383544922,171733.48791503906,2698.968994140625,16883044352,34359738368,11315388416,0
199,1740499426354,1609,1609,1609,1609,1609,1609,1609,1609,87.48694610595703,84.9733657836914,90.87696838378906,86.2291488647461,88.34431457519531,81.25334167480469,94.09817504882813,88.22246551513672,26862.629150390625,216883.59729003906,171735.5394897461,2699.0371704101563,16883044352,34359738368,11315441664,0
201,1740499426554,1609,1609,1609,1609,1609,1609,1609,1609,83.45592498779297,75.56432342529297,85.71144104003906,85.3445053100586,84.04103088378906,84.05702209472656,85.8302001953125,82.50274658203125,26863.04766845703,216886.6513671875,171737.9697265625,2699.107177734375,16883044352,34359738368,11314434048,0
199,1740499426756,1609,1609,1609,1609,1609,1609,1609,1609,85.52587890625,82.07850646972656,86.07623291015625,86.34661102294922,84.20316314697266,81.05414581298828,87.52386474609375,81.92391967773438,26863.442993164063,216889.53875732422,171740.26428222656,2699.1838989257813,16883044352,34359738368,11313303552,0
199,1740499426957,1609,1609,1609,1609,1609,1609,1609,1609,78.00503540039063,77.42008972167969,78.55258178710938,81.99552917480469,79.278076171875,71.43822479248047,85.92169189453125,77.58841705322266,26863.835205078125,216892.54315185547,171742.6460571289,2699.2570190429688,16883044352,34359738368,11316236288,0
