Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740618728975,742.1930847167969,1400,2,0.70625,7905.519927978516,1400,1400,1400,1400,1400,1400,1400,1400,55.772579193115234,34.26409912109375,69.55579376220703,54.661800384521484,69.22697448730469,39.693138122558594,47.658016204833984,42.95825958251953,14964924416,11811160064,11775578112,236466176
199,1740618728976,742.19580078125,1400,2,0.70625,7905.554916381836,1400,1400,1400,1400,1400,1400,1400,1400,76.2771224975586,19.131942749023438,98.09819030761719,13.136650085449219,78.16936492919922,40.80281448364258,25.30803680419922,100,14964924416,11811160064,11775688704,235945984
196,1740618729180,742.2619781494141,1400,2,0.70625,7906.21142578125,1400,1400,1400,1400,1400,1400,1400,1400,49.81718444824219,36.679054260253906,75.2476577758789,41.54214096069336,47.408817291259766,32.13018798828125,42.52066421508789,44.936588287353516,14964924416,11811160064,11764277248,246427648
200,1740618729376,742.3254241943359,1400,2,0.70625,7906.85075378418,1400,1400,1400,1400,1400,1400,1400,1400,36.62757110595703,55.60306930541992,78.01332092285156,43.84613800048828,49.33955383300781,29.00804901123047,40.996726989746094,45.51060485839844,14964924416,11811160064,11771166720,256737280
199,1740618729577,722.5863189697266,1400,2,0.70625,7907.689407348633,1400,1400,1400,1400,1400,1400,1400,1400,73.47196960449219,64.29571533203125,74.44562530517578,67.30497741699219,76.4120864868164,66.56502532958984,70.63008117675781,73.68762969970703,14964924416,11811160064,11774099456,268627968
152,1740618729825,742.4429016113281,1400,2,0.70625,7908.3505859375,1400,1400,1400,1400,1400,1400,1400,1400,26.008445739746094,26.694580078125,36.383506774902344,34.26264953613281,29.673355102539063,19.05754852294922,30.717132568359375,22.096946716308594,14964924416,11811160064,11793932288,315158528
199,1740618729978,742.487548828125,1400,2,0.70625,7908.894790649414,1400,1400,1400,1400,1400,1400,1400,1400,61.11867904663086,50.403480529785156,59.0833854675293,52.373619079589844,59.77824783325195,50.00598907470703,62.3580207824707,58.783241271972656,14964924416,11811160064,11822694400,338153472
199,1740618730178,722.7208557128906,1400,2,0.70625,7909.61116027832,1400,1400,1400,1400,1400,1400,1400,1400,54.17792892456055,28.484375,54.5056037902832,43.002567291259766,48.104061126708984,35.88005828857422,54.3802490234375,40.64570617675781,14964924416,11811160064,11823153152,337104896
199,1740618730379,742.6030426025391,1400,2,0.70625,7910.27717590332,1400,1400,1400,1400,1400,1400,1400,1400,44.76639175415039,41.1920051574707,45.18445587158203,50.73500061035156,50.409400939941406,42.91141891479492,44.119354248046875,34.59906005859375,14964924416,11811160064,11822436352,337104896
199,1740618730579,588.0949859619141,1400,2,0.70625,7911.12678527832,1400,1400,1400,1400,1400,1400,1400,1400,63.03269577026367,52.660926818847656,61.0923957824707,59.071807861328125,65.79209899902344,58.265380859375,69.82079315185547,59.814170837402344,14964924416,11811160064,11822731264,339111936
199,1740618730779,742.7376251220703,1400,2,0.70625,7911.975692749023,1400,1400,1400,1400,1400,1400,1400,1400,72.85531616210938,76.07442474365234,74.9564437866211,71.51534271240234,77.47502136230469,67.29853057861328,79.89389038085938,64.62017822265625,14964924416,11811160064,11822960640,340193280
199,1740618730979,742.7908325195313,1400,2,0.70625,7912.672210693359,1400,1400,1400,1400,1400,1400,1400,1400,39.87822341918945,43.53813934326172,45.7805290222168,45.8829460144043,45.88676452636719,31.37609100341797,51.80338668823242,44.84711837768555,14964924416,11811160064,11823419392,340193280
199,1740618731180,723.0245971679688,1400,2,0.70625,7913.507019042969,1400,1400,1400,1400,1400,1400,1400,1400,69.51293182373047,64.16999816894531,74.56486511230469,66.537353515625,73.23774719238281,67.07926940917969,76.17091369628906,61.65349197387695,14964924416,11811160064,11825487872,354332672
199,1740618731380,428.65687561035156,1400,2,0.70625,7914.425888061523,1400,1400,1400,1400,1400,1400,1400,1400,72.52847290039063,64.12022399902344,68.91069030761719,72.32662963867188,68.89163208007813,66.90335845947266,72.4211196899414,68.88697052001953,14964924416,11811160064,11838398464,363569152
199,1740618731580,742.9950714111328,1400,2,0.70625,7915.131011962891,1400,1400,1400,1400,1400,1400,1400,1400,54.65266799926758,42.25052261352539,61.17493438720703,53.643341064453125,65.27832794189453,49.170166015625,58.347412109375,46.92841720581055,14964924416,11811160064,11828912128,343248896
199,1740618731781,743.0481719970703,1400,2,0.70625,7915.799072265625,1400,1400,1400,1400,1400,1400,1400,1400,46.02402114868164,30.027267456054688,40.02253723144531,45.135948181152344,42.33032989501953,38.00550842285156,50.79587936401367,37.827171325683594,14964924416,11811160064,11829108736,343150592
200,1740618731981,588.5034027099609,1400,2,0.70625,7916.467239379883,1400,1400,1400,1400,1400,1400,1400,1400,51.606353759765625,35.553794860839844,46.31485366821289,42.74000930786133,50.068058013916016,38.209449768066406,55.97867202758789,52.28471755981445,14964924416,11811160064,11829571584,343085056
200,1740618732181,743.1531524658203,1400,2,0.70625,7917.124923706055,1400,1400,1400,1400,1400,1400,1400,1400,51.471622467041016,38.079593658447266,48.3151741027832,36.155914306640625,50.79634475708008,30.936607360839844,44.72720718383789,43.82076644897461,14964924416,11811160064,11828846592,342564864
200,1740618732382,588.6078033447266,1400,2,0.70625,7917.800735473633,1400,1400,1400,1400,1400,1400,1400,1400,43.12459945678711,43.977115631103516,39.64768600463867,46.479026794433594,50.4120979309082,35.03880310058594,51.186710357666016,33.552589416503906,14964924416,11811160064,11829153792,341516288
