Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740615851550,1609,1609,1609,1609,1609,1609,1609,1609,15.409561157226563,0,67.20924377441406,0,0,63.285587310791016,28.425857543945313,1.2819671630859375,3482.6759643554688,13650.763244628906,9901.099609375,14.2882080078125,16883044352,34359738368,6626041856,0
200,1740615851550,1609,1609,1609,1609,1609,1609,1609,1609,72.62298583984375,69.20023345947266,99.88872528076172,70.07420349121094,70.88816833496094,68.73323822021484,95.95146179199219,68.06681823730469,3482.685302734375,13650.814392089844,9901.140808105469,14.2882080078125,16883044352,34359738368,6626619392,0
199,1740615851751,1609,1609,1609,1609,1609,1609,1609,1609,17.135025024414063,13.627006530761719,46.73432159423828,17.327781677246094,27.995819091796875,9.5628662109375,15.732383728027344,31.432899475097656,3482.8487548828125,13652.823303222656,9902.988037109375,14.28875732421875,16883044352,34359738368,6668943360,0
199,1740615851951,1609,1609,1609,1609,1609,1609,1609,1609,44.78103256225586,43.253963470458984,58.351898193359375,52.78029251098633,62.304630279541016,49.977596282958984,49.07918930053711,52.171775817871094,3483.1915283203125,13656.2978515625,9906.149291992188,14.28875732421875,16883044352,34359738368,6809595904,0
200,1740615852151,1609,1609,1609,1609,1609,1609,1609,1609,67.50981140136719,73.09555053710938,70.07296752929688,63.21761703491211,70.85848999023438,67.51903533935547,69.79620361328125,67.00346374511719,3483.6055908203125,13660.240234375,9909.839294433594,14.28875732421875,16883044352,34359738368,6810644480,0
200,1740615852351,1609,1609,1609,1609,1609,1609,1609,1609,57.54246139526367,44.710296630859375,54.4516487121582,52.30205535888672,65.09178924560547,46.46355056762695,64.03173828125,39.212974548339844,3483.9270629882813,13664.44140625,9913.800720214844,14.28936767578125,16883044352,34359738368,6811361280,0
200,1740615852552,1609,1609,1609,1609,1609,1609,1609,1609,69.61439514160156,57.35641098022461,65.9239501953125,65.6146240234375,64.68048858642578,57.48296356201172,72.45539093017578,56.30997848510742,3484.3448486328125,13668.720825195313,9917.824401855469,14.289794921875,16883044352,34359738368,6810972160,0
199,1740615852753,1609,1609,1609,1609,1609,1609,1609,1609,71.50065612792969,72.21703338623047,78.02613830566406,73.26985168457031,73.03003692626953,68.19821166992188,75.57487487792969,67.70559692382813,3484.7816162109375,13672.861206054688,9921.663635253906,14.29034423828125,16883044352,34359738368,6810226688,0
200,1740615852953,1609,1609,1609,1609,1609,1609,1609,1609,81.89627838134766,69.28671264648438,78.239501953125,69.33016967773438,76.72964477539063,69.6871337890625,80.50202941894531,70.1088638305664,3485.2608032226563,13676.87890625,9925.395568847656,14.29034423828125,16883044352,34359738368,6811172864,0
199,1740615853154,1609,1609,1609,1609,1609,1609,1609,1609,82.01509857177734,78.48313903808594,77.0129165649414,80.21992492675781,74.13727569580078,80.3905029296875,83.58611297607422,77.00088500976563,3485.7329711914063,13680.965148925781,9929.204650878906,14.29034423828125,16883044352,34359738368,6810640384,0
200,1740615853354,1609,1609,1609,1609,1609,1609,1609,1609,56.52195358276367,48.235023498535156,49.77534866333008,42.60016632080078,51.08418655395508,43.35769271850586,49.235008239746094,36.914817810058594,3486.06005859375,13684.540100097656,9932.566467285156,14.2908935546875,16883044352,34359738368,6810423296,0
199,1740615853554,1609,1609,1609,1609,1609,1609,1609,1609,61.65991973876953,66.81465148925781,62.5767822265625,61.6310920715332,63.06871795654297,58.415287017822266,62.687965393066406,60.157291412353516,3486.4771728515625,13688.705688476563,9936.455322265625,14.29168701171875,16883044352,34359738368,6812651520,0
199,1740615853754,1609,1609,1609,1609,1609,1609,1609,1609,69.390869140625,70.7869873046875,74.54652404785156,68.13821411132813,78.70753479003906,70.57151794433594,70.23258972167969,68.36717224121094,3486.921875,13692.89306640625,9940.398071289063,14.29205322265625,16883044352,34359738368,6811111424,0
200,1740615853954,1609,1609,1609,1609,1609,1609,1609,1609,66.53169250488281,63.88838577270508,71.36929321289063,64.87393188476563,69.74390411376953,61.25113296508789,72.19983673095703,70.99122619628906,3487.329833984375,13697.047119140625,9944.300354003906,14.29205322265625,16883044352,34359738368,6811455488,0
199,1740615854155,1609,1609,1609,1609,1609,1609,1609,1609,72.76718139648438,42.984867095947266,53.694576263427734,64.70173645019531,68.82386779785156,59.148895263671875,67.29666137695313,62.0822639465332,3487.6763305664063,13701.557250976563,9948.515808105469,14.29205322265625,16883044352,34359738368,6812307456,0
199,1740615854355,1609,1609,1609,1609,1609,1609,1609,1609,59.91647720336914,46.812129974365234,67.31910705566406,54.02684783935547,58.42535400390625,60.657569885253906,73.87531280517578,49.6101188659668,3488.007568359375,13705.974304199219,9952.700073242188,14.29248046875,16883044352,34359738368,6811873280,0
200,1740615854555,1609,1609,1609,1609,1609,1609,1609,1609,59.80213165283203,67.59326934814453,62.70390701293945,68.90959930419922,73.25883483886719,70.6566162109375,75.06211853027344,55.5970458984375,3488.3525390625,13710.631225585938,9957.126953125,14.29248046875,16883044352,34359738368,6812229632,0
200,1740615854755,1609,1609,1609,1609,1609,1609,1609,1609,68.91323852539063,53.42838668823242,64.27769470214844,72.781982421875,72.70820617675781,61.83561325073242,68.06324768066406,58.89404296875,3488.718994140625,13715.334289550781,9961.58203125,14.2928466796875,16883044352,34359738368,6811492352,0
199,1740615854956,1609,1609,1609,1609,1609,1609,1609,1609,85.52006530761719,82.1478500366211,81.85092163085938,81.54306030273438,81.24343872070313,76.1668701171875,82.80846405029297,73.84037017822266,3489.2153930664063,13720.062255859375,9965.999084472656,14.29327392578125,16883044352,34359738368,6812422144,0
200,1740615855156,1609,1609,1609,1609,1609,1609,1609,1609,83.824462890625,82.00907897949219,79.33238220214844,81.10563659667969,79.4471664428711,78.3376693725586,84.65765380859375,82.36895751953125,3489.6918334960938,13724.476989746094,9970.116271972656,14.29327392578125,16883044352,34359738368,6811615232,0
199,1740615855357,1609,1609,1609,1609,1609,1609,1609,1609,80.89722442626953,82.34524536132813,83.58251953125,80.88227844238281,84.39482879638672,77.14080047607422,81.10218811035156,75.36732482910156,3490.171875,13728.732666015625,9974.088256835938,14.2938232421875,16883044352,34359738368,6812356608,0
200,1740615855557,1609,1609,1609,1609,1609,1609,1609,1609,62.89690017700195,65.09000396728516,75.87541961669922,56.37608337402344,67.19090270996094,59.0262565612793,69.63226318359375,61.08289337158203,3490.5595092773438,13732.522277832031,9977.584350585938,14.2938232421875,16883044352,34359738368,6812049408,0
