Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740614262451,1609,1609,1609,1609,1609,1609,1609,1609,31.796112060546875,35.44114685058594,97.34146118164063,32.9034423828125,65.49424743652344,38.759666442871094,41.88447952270508,72.52626037597656,2870.5865478515625,11172.50439453125,8041.432678222656,12.20654296875,16883044352,34359738368,6557704192,0
198,1740614262452,1609,1609,1609,1609,1609,1609,1609,1609,32.25269317626953,0,76.61837768554688,0,53.390018463134766,0,98.44829559326172,23.95337677001953,2870.5963745117188,11172.547180175781,8041.470703125,12.20654296875,16883044352,34359738368,6558072832,0
199,1740614262652,1609,1609,1609,1609,1609,1609,1609,1609,25.198532104492188,14.056396484375,57.63689422607422,9.234970092773438,28.00873565673828,11.539100646972656,16.70929718017578,26.83592987060547,2870.7479248046875,11174.469970703125,8043.240783691406,12.20684814453125,16883044352,34359738368,6599069696,0
199,1740614262853,1609,1609,1609,1609,1609,1609,1609,1609,62.48793029785156,56.57805252075195,79.24139404296875,59.13521957397461,60.746490478515625,56.116329193115234,57.82551956176758,64.29058837890625,2871.0782470703125,11178.564758300781,8047.0091552734375,12.20721435546875,16883044352,34359738368,6676447232,0
200,1740614263052,1609,1609,1609,1609,1609,1609,1609,1609,92.21207427978516,90.41281127929688,92.22384643554688,89.50773620605469,90.05658721923828,97.62407684326172,92.42692565917969,89.80126953125,2871.5647583007813,11184.220764160156,8052.4012451171875,12.20721435546875,16883044352,34359738368,6678020096,0
199,1740614263253,1609,1609,1609,1609,1609,1609,1609,1609,92.98395538330078,90.98701477050781,90.6110610961914,93.29639434814453,91.74703216552734,91.37510681152344,92.68104553222656,89.77998352050781,2872.0179443359375,11189.452209472656,8057.355407714844,12.2076416015625,16883044352,34359738368,6678355968,0
200,1740614263453,1609,1609,1609,1609,1609,1609,1609,1609,90.02017974853516,85.01939392089844,91.43828582763672,91.114990234375,91.74751281738281,89.73943328857422,89.26675415039063,87.81549072265625,2872.3532104492188,11194.607666015625,8062.245056152344,12.2076416015625,16883044352,34359738368,6678097920,0
197,1740614263656,1609,1609,1609,1609,1609,1609,1609,1609,93.1500473022461,94.84554290771484,95.0756607055664,94.58000946044922,94.96222686767578,93.595947265625,95.14155578613281,92.32685852050781,2872.788330078125,11200.879211425781,8068.2431640625,12.20819091796875,16883044352,34359738368,6678097920,0
200,1740614263854,1609,1609,1609,1609,1609,1609,1609,1609,90.05369567871094,89.07574462890625,89,93.07038879394531,88.72248077392578,88.07952880859375,89.70863342285156,88.73799133300781,2873.148681640625,11205.921020507813,8073.0548095703125,12.20867919921875,16883044352,34359738368,6679465984,0
200,1740614264055,1609,1609,1609,1609,1609,1609,1609,1609,84.23528289794922,82.74726104736328,88.22709655761719,83.3781509399414,91.40672302246094,82.33232116699219,84.12358093261719,83.23573303222656,2873.5211181640625,11211.020751953125,8077.89697265625,12.20904541015625,16883044352,34359738368,6680891392,0
198,1740614264258,1609,1609,1609,1609,1609,1609,1609,1609,93.71205139160156,91.67095947265625,93.76205444335938,92.59053039550781,93.01573944091797,92.86073303222656,92.97425079345703,94.3848648071289,2873.9427490234375,11216.540100097656,8083.1226806640625,12.20953369140625,16883044352,34359738368,6680551424,0
199,1740614264457,1609,1609,1609,1609,1609,1609,1609,1609,63.68634796142578,63.223445892333984,77.38742065429688,66.72725677490234,64.46904754638672,63.8593635559082,63.14973068237305,63.58893585205078,2874.2772827148438,11220.347534179688,8086.6282958984375,12.20953369140625,16883044352,34359738368,6616563712,0
9,1740614264657,1609,1609,1609,1609,1609,1609,1609,1609,0,0,25.977508544921875,0,0.23509979248046875,0,0,0,2874.3445434570313,11220.574035644531,8086.7098388671875,12.20989990234375,16883044352,34359738368,6567337984,0
