Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740624243889,57509.106872558594,4875,0,0.19999999999999996,408960.3063659668,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,24.000717163085938,21.539047241210938,56.07012939453125,46.42380905151367,29.506607055664063,21.365333557128906,34.89214324951172,21.345481872558594,49.50710678100586,33.663787841796875,25.09693145751953,21.905067443847656,67.22087097167969,25.81781768798828,44.82012176513672,32.463348388671875,64091443200,4026531840,8354246656,0
189,1740624243900,57509.16278076172,4900,0,0.1875,408960.66996765137,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,0,0,94.33531188964844,0,0,0,0,0,0,38.94961929321289,0,0,75.14823913574219,0,0,0,64091443200,4026531840,8357351424,0
200,1740624244090,57511.009353637695,4925,0,0.21875,408969.0153198242,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,18.802780151367188,16.8251953125,57.228519439697266,41.49463653564453,23.803428649902344,33.29210662841797,23.47723388671875,26.59771728515625,21.355194091796875,22.594955444335938,22.073219299316406,20.140151977539063,51.4403190612793,34.57228088378906,14.818405151367188,19.869125366210938,64091443200,4026531840,8561987584,0
200,1740624244290,57006.02641296387,4950,0,0.13124999999999987,408980.4585876465,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,24.307777404785156,17.33782196044922,37.31587600708008,60.34543991088867,40.587921142578125,39.80438995361328,30.50835418701172,30.992874145507813,14.887275695800781,19.041259765625,26.22960662841797,27.6025390625,46.535675048828125,53.192020416259766,20.650970458984375,25.04467010498047,64091443200,4026531840,8568573952,0
200,1740624244490,37834.49060058594,4775,0,0.2437499999999999,408991.63555908203,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,31.71429443359375,31.837478637695313,64.34373474121094,58.29399871826172,43.10328674316406,45.01776123046875,40.32807159423828,38.5733642578125,23.920364379882813,26.705177307128906,37.5053596496582,35.72966766357422,61.16466522216797,56.0772705078125,30.09003448486328,41.16366958618164,64091443200,4026531840,8568307712,0
200,1740624244691,37836.13391113281,4950,0,0.13124999999999987,409002.0364227295,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,19.62128448486328,20.96380615234375,50.277099609375,39.61233139038086,39.23785400390625,31.088478088378906,29.350006103515625,31.92943572998047,12.490371704101563,14.175086975097656,26.881492614746094,33.99864959716797,47.90840148925781,45.90086364746094,17.86217498779297,25.47557830810547,64091443200,4026531840,8568184832,0
200,1740624244891,20495.398178100586,4725,0,0.2749999999999999,409013.54148864746,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,21.554946899414063,24.06134033203125,41.59950256347656,53.758323669433594,36.16115188598633,41.645408630371094,36.51759719848633,33.30268096923828,13.846542358398438,16.466590881347656,30.657188415527344,31.500900268554688,53.967750549316406,48.74883270263672,26.894424438476563,26.835922241210938,64091443200,4026531840,8567623680,0
200,1740624245091,37840.00280761719,4650,0,0.2749999999999999,409024.1919555664,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,23.198715209960938,23.03797149658203,51.27865219116211,49.47535705566406,46.52705764770508,40.874847412109375,43.02432632446289,29.500335693359375,11.746749877929688,18.673294067382813,27.38306427001953,34.73804473876953,49.9554328918457,49.296302795410156,30.974685668945313,27.639076232910156,64091443200,4026531840,8568086528,0
199,1740624245292,37842.12405395508,2828.5714285714284,1,0.11874999999999991,409036.3927154541,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,26.384475708007813,30.384033203125,60.369476318359375,60.39329528808594,40.711605072021484,50.20196533203125,47.548851013183594,36.30455780029297,19.780723571777344,28.05010223388672,32.16436004638672,42.865318298339844,58.49373245239258,57.65503692626953,30.986221313476563,37.03908157348633,64091443200,4026531840,8567128064,0
200,1740624245492,57019.33029174805,4800,0,0.23124999999999996,409047.1457977295,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,30.787139892578125,27.22364044189453,60.08438491821289,53.90947341918945,42.44978332519531,41.33570861816406,35.21782684326172,41.05232620239258,19.784523010253906,24.385772705078125,35.94575500488281,38.704994201660156,58.22328186035156,52.49785232543945,29.932525634765625,36.67194366455078,64091443200,4026531840,8566206464,0
200,1740624245692,20501.560272216797,4750,0,0.19999999999999996,409058.9061126709,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,17.05811309814453,36.912357330322266,60.73542404174805,47.45313262939453,43.16550064086914,40.795310974121094,40.97393798828125,37.27190399169922,16.687332153320313,27.719703674316406,34.800315856933594,32.837547302246094,49.79112243652344,56.0846061706543,25.964859008789063,36.99473190307617,64091443200,4026531840,8565268480,0
200,1740624245893,57531.76550292969,4700,0,0.26249999999999996,409070.7574005127,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,21.169647216796875,30.28160858154297,57.573753356933594,51.422340393066406,47.29789733886719,42.59429168701172,45.53163528442383,34.496795654296875,25.432228088378906,20.493972778320313,38.175045013427734,34.93920135498047,63.97637176513672,51.570133209228516,33.462867736816406,33.07337951660156,64091443200,4026531840,8565657600,0
201,1740624246093,57025.91603088379,4850,0,0.1875,409081.9469604492,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,25.294410705566406,33.082305908203125,57.56122589111328,58.24733352661133,47.800086975097656,43.82874298095703,42.80313491821289,40.16733932495117,21.759750366210938,24.30756378173828,32.13512420654297,39.0478515625,59.2892951965332,63.099891662597656,26.95496368408203,37.59821701049805,64091443200,4026531840,8564781056,0
4,1740624246294,57027.344787597656,5125,0,0.0625,409090.1018218994,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,18.816925048828125,19.28662872314453,42.225303649902344,36.62141036987305,29.557823181152344,27.047462463378906,21.019325256347656,27.599647521972656,15.296737670898438,30.285255432128906,21.426040649414063,26.332733154296875,44.879573822021484,33.414207458496094,20.67554473876953,19.699874877929688,64091443200,4026531840,8359514112,0
