Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740622621396,56328.286529541016,5125,0,0.07499999999999996,400934.8062133789,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,0,0,66.56188201904297,0,0,0,0,0,42.81280517578125,29.29265594482422,0,0,40.68119812011719,21.496719360351563,0,0,64091443200,4026531840,8305434624,0
189,1740622621407,56786.803466796875,5100,0,0.07499999999999996,400935.3920593262,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,25.685546875,25.502639770507813,50.19594192504883,38.08256530761719,75.95565795898438,23.161842346191406,26.252830505371094,32.97753143310547,29.282180786132813,65.53160095214844,32.54304504394531,27.185943603515625,94.94306945800781,23.182891845703125,24.70984649658203,26.83464813232422,64091443200,4026531840,8305274880,0
200,1740622621597,25592.480728149414,4700,0,0.1812499999999999,400943.3123779297,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,17.555213928222656,16.998489379882813,38.279197692871094,42.02321243286133,24.641334533691406,35.77405548095703,22.206787109375,21.739173889160156,18.38170623779297,19.7685546875,17.884056091308594,18.924232482910156,57.689979553222656,34.120811462402344,11.470977783203125,20.985641479492188,64091443200,4026531840,8499613696,0
199,1740622621797,24722.44859313965,4875,0,0.19999999999999996,400954.7644042969,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,17.53215789794922,23.88897705078125,47.43485641479492,48.03770065307617,33.77098083496094,38.16732406616211,36.374656677246094,25.03380584716797,10.707771301269531,21.282760620117188,28.42864227294922,32.62360382080078,45.7379150390625,49.12297058105469,27.92162322998047,21.325607299804688,64091443200,4026531840,8504975360,0
199,1740622621998,37370.70266723633,4850,0,0.26875000000000004,400966.65214538574,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,29.592918395996094,32.128273010253906,54.394588470458984,64.9728775024414,41.011295318603516,52.94023895263672,43.29136657714844,41.714324951171875,24.828231811523438,29.23114776611328,35.92591857910156,39.71589279174805,58.33940124511719,57.17339324951172,38.3577766418457,27.98627471923828,64091443200,4026531840,8513007616,0
199,1740622622198,37372.145446777344,4950,0,0.17500000000000004,400975.88973999023,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,18.39885711669922,19.289207458496094,47.4472770690918,38.802703857421875,33.02851867675781,36.3624267578125,29.411521911621094,35.658782958984375,11.831459045410156,14.345024108886719,28.25824737548828,29.867965698242188,39.19970703125,51.713905334472656,14.71270751953125,23.432456970214844,64091443200,4026531840,8511012864,0
200,1740622622398,31117.645050048828,4925,0,0.13749999999999996,400987.628326416,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,16.505935668945313,25.004608154296875,45.196258544921875,51.52183532714844,46.30729293823242,35.056488037109375,29.02558135986328,42.19236755371094,10.254066467285156,21.603713989257813,31.283432006835938,32.92646026611328,48.328025817871094,51.041893005371094,25.368385314941406,30.471160888671875,64091443200,4026531840,8510517248,0
200,1740622622598,25597.75929260254,4700,0,0.28125,400999.0475769043,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,14.776573181152344,26.899620056152344,59.354129791259766,48.81591796875,46.479373931884766,40.107810974121094,34.24798583984375,37.26061248779297,13.275886535644531,21.750717163085938,32.76087951660156,29.81238555908203,57.57844161987305,42.448665618896484,38.68482971191406,19.056861877441406,64091443200,4026531840,8511025152,0
199,1740622622799,31121.368774414063,4975,0,0.09375,401010.6667022705,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,29.871803283691406,28.39330291748047,62.476234436035156,57.22002029418945,53.267738342285156,40.2873649597168,48.4738655090332,35.76318359375,19.64239501953125,25.570396423339844,28.276565551757813,47.46440124511719,60.39730453491211,61.348201751708984,33.60810089111328,34.921546936035156,64091443200,4026531840,8510971904,0
200,1740622622999,31123.10009765625,4875,0,0.1875,401022.5121459961,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,22.62511444091797,30.11847686767578,49.19211196899414,59.094425201416016,42.089805603027344,42.932735443115234,32.8455810546875,41.519832611083984,14.86163330078125,22.035682678222656,36.6009521484375,30.831443786621094,59.25631332397461,55.36600875854492,29.32819366455078,35.867469787597656,64091443200,4026531840,8509521920,0
