Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740620701220,55684.980895996094,5100,0,0.08125000000000004,392175.9998321533,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,0,0,20.158187866210938,0,0,0,0,0,0,0.9178695678710938,0,0,0,0,0,0,64091443200,4026531840,8328421376,0
199,1740620701221,55685.00900268555,5100,0,0.0625,392176.1544494629,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,78.0810775756836,77.12661743164063,99.51785278320313,76.72892761230469,87.7052001953125,76.69120788574219,79.10769653320313,76.69285583496094,80.92149353027344,88.13076782226563,78.87154388427734,76.69776916503906,89.82321166992188,76.75025177001953,76.75106811523438,76.75353240966797,64091443200,4026531840,8328290304,0
199,1740620701421,56120.42387390137,2885.714285714286,1,0.10624999999999996,392183.34283447266,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,5.916618347167969,8.220466613769531,40.861305236816406,21.71014404296875,36.47639083862305,11.602081298828125,15.1181640625,17.63225555419922,12.95306396484375,11.266738891601563,12.869430541992188,10.886009216308594,31.797752380371094,31.365928649902344,6.145042419433594,9.453704833984375,64091443200,4026531840,8452345856,0
200,1740620701621,55688.976303100586,5000,0,0.10624999999999996,392194.50372314453,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,21.062850952148438,19.65477752685547,41.96601486206055,50.34870529174805,33.96392059326172,42.84783935546875,34.803733825683594,33.61115264892578,11.133087158203125,18.428306579589844,24.708175659179688,31.932907104492188,47.46098709106445,44.85018539428711,26.402618408203125,27.192832946777344,64091443200,4026531840,8457801728,0
200,1740620701821,55691.04539489746,5025,0,0.11250000000000004,392204.75901794434,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,8.793159484863281,16.66944122314453,38.38285446166992,38.14175796508789,25.360946655273438,34.34849548339844,25.93138885498047,30.576919555664063,10.175788879394531,11.407806396484375,26.117149353027344,22.280364990234375,41.05891799926758,33.789772033691406,14.595573425292969,18.771575927734375,64091443200,4026531840,8458723328,0
200,1740620702022,56126.8621673584,5000,0,0.125,392213.3635864258,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,5.9494476318359375,6.397666931152344,36.313053131103516,44.05845642089844,34.01361846923828,35.08552551269531,22.87757110595703,26.459304809570313,5.347709655761719,4.2923583984375,14.607643127441406,23.837799072265625,46.6292839050293,35.72966766357422,16.104568481445313,14.752738952636719,64091443200,4026531840,8457474048,0
200,1740620702222,55695.8376159668,2871.4285714285716,1,0.11250000000000004,392224.93241882324,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,15.69891357421875,19.375228881835938,49.57468795776367,37.035526275634766,31.563491821289063,38.77959060668945,30.265296936035156,34.37684631347656,7.4366607666015625,16.338172912597656,26.36487579345703,26.2738037109375,41.316978454589844,46.087711334228516,20.637405395507813,26.67066192626953,64091443200,4026531840,8456228864,0
200,1740620702423,30730.476348876953,4800,0,0.23124999999999996,392234.8707122803,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,14.032806396484375,13.227752685546875,39.28079605102539,38.52583312988281,32.65070343017578,29.319618225097656,28.748817443847656,29.530670166015625,9.388130187988281,9.248825073242188,19.314186096191406,32.03455352783203,32.46753692626953,47.576080322265625,17.648544311523438,23.912948608398438,64091443200,4026531840,8456065024,0
200,1740620702623,55700.34727478027,4975,0,0.13749999999999996,392246.05114746094,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,17.733070373535156,15.779304504394531,43.92413330078125,42.46567916870117,27.906494140625,38.943260192871094,24.433006286621094,35.327552795410156,11.420356750488281,15.305007934570313,24.36669921875,27.490631103515625,45.49501419067383,46.7722053527832,19.072784423828125,26.061569213867188,64091443200,4026531840,8456540160,0
4,1740620702824,55700.92428588867,5125,0,0.07499999999999996,392249.37115478516,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,4.997459411621094,4.580863952636719,18.87445831298828,9.720863342285156,7.79168701171875,8.507049560546875,6.179908752441406,7.238990783691406,11.483078002929688,7.0138397216796875,5.158332824707031,5.7961273193359375,10.005752563476563,10.781547546386719,5.1452484130859375,5.128761291503906,64091443200,4026531840,8327331840,0
