Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740622630417,1589.7650756835938,1400,2,0.9875,18713.33949279785,1400,1400,1400,1400,1400,1400,1400,1400,45.4090461730957,11.945228576660156,59.667030334472656,18.43968963623047,25.209800720214844,41.734779357910156,31.19757080078125,15.688224792480469,14964924416,11811160064,11715792896,144027648
199,1740622630418,1589.7677612304688,1400,2,0.9875,18713.373168945313,1400,1400,1400,1400,1400,1400,1400,1400,39.644935607910156,28.978988647460938,99.69111633300781,16.604690551757813,30.046585083007813,29.19390869140625,100,12.868110656738281,14964924416,11811160064,11715837952,144027648
197,1740622630621,758.1285247802734,1400,2,0.9875,18714.010650634766,1400,1400,1400,1400,1400,1400,1400,1400,36.50511932373047,30.841148376464844,79.6174087524414,27.74688720703125,53.147884368896484,34.703346252441406,37.5836181640625,39.15681076049805,14964924416,11811160064,11717865472,178855936
199,1740622630819,758.1857604980469,1400,2,0.9875,18714.667709350586,1400,1400,1400,1400,1400,1400,1400,1400,42.67167663574219,45.11024856567383,62.93171310424805,26.237648010253906,49.52903747558594,50.88007354736328,59.42957305908203,58.659034729003906,14964924416,11811160064,11730841600,188047360
200,1740622631019,1589.9155731201172,1400,2,0.9875,18715.2685546875,1400,1400,1400,1400,1400,1400,1400,1400,30.724472045898438,27.57561492919922,39.8332633972168,15.690444946289063,44.3322639465332,29.593231201171875,48.54104995727539,17.06841278076172,14964924416,11811160064,11739361280,236474368
199,1740622631221,1589.9811401367188,1400,2,0.9875,18716.010177612305,1400,1400,1400,1400,1400,1400,1400,1400,48.31756591796875,37.68740463256836,66.96942138671875,54.29061508178711,57.9664421081543,48.04983901977539,49.423404693603516,38.04581069946289,14964924416,11811160064,11806932992,298233856
199,1740622631421,1590.0583801269531,1400,2,0.9875,18716.92430114746,1400,1400,1400,1400,1400,1400,1400,1400,89.47535705566406,88.5999984741211,90.98687744140625,91.91133880615234,92.87470245361328,89.31327056884766,93.11143493652344,89.95310974121094,14964924416,11811160064,11808362496,300331008
200,1740622631621,1181.1354064941406,1400,2,0.9875,18717.689010620117,1400,1400,1400,1400,1400,1400,1400,1400,64.911865234375,58.44050598144531,65.39871215820313,50.02309036254883,65.42434692382813,47.24959182739258,61.47592544555664,84.74937438964844,14964924416,11811160064,11829612544,321204224
200,1740622631822,1590.186996459961,1400,2,0.9875,18718.51954650879,1400,1400,1400,1400,1400,1400,1400,1400,74.44055938720703,59.37433624267578,70.03012084960938,61.70979309082031,66.12147521972656,62.48265838623047,63.18701934814453,63.39093017578125,14964924416,11811160064,11810406400,299216896
198,1740622632023,758.5559844970703,1400,2,0.9875,18719.373260498047,1400,1400,1400,1400,1400,1400,1400,1400,59.017723083496094,56.70940017700195,69.56771850585938,55.528072357177734,61.95283126831055,62.98088073730469,60.94729995727539,57.81207275390625,14964924416,11811160064,11810963456,299155456
